Part       Value                              Device                       Package					SUPPLIER				SUPPLIER PART NUMBER	
R10        470                                R_0603                       R0603                    DIGI-KEY                1276-5054-1-ND 
R11        390                                R_0603                       R0603                    DIGI-KEY                1276-5052-1-ND  
R12        4.7k                               R_0603                       R0603                    DIGI-KEY                311-4.7KRGCT-ND   
R13        4.7k                               R_0603                       R0603                    DIGI-KEY                311-4.7KRGCT-ND    
R14        470                                R_0603                       R0603                    DIGI-KEY                1276-5054-1-ND   
R15        10                                 R_0603                       R0603                    DIGI-KEY                RHM10DCT-ND   
R16        1M                                 R_0603                       R0603                    DIGI-KEY                311-1.00MHRCT-ND 
R17        47k                                R_0603                       R0603                    DIGI-KEY                311-47.0KHRCT-ND                   
R18        10                                 R_0603                       R0603                    DIGI-KEY                RHM10DCT-ND   
R19        10                                 R_0603                       R0603                    DIGI-KEY                RHM10DCT-ND   
R20        10                                 R_0603                       R0603                    DIGI-KEY                RHM10DCT-ND      
R21        33k                                R_0603                       R0603                    DIGI-KEY                P33KDBCT-ND   
R22        0                                  R_1206                       R1206                    DIGI-KEY                311-0.0ERCT-ND   
RADIO_CONN RADIO                              559099872_2X5_PLUG           559099872_2X5_PLUG       DIGI-KEY                WM8766CT-ND    
S1         RST_EZFET                          PUSH_BOT                     EVQ_11_TH                DIGI-KEY                P8070SCT-ND     
S2         RST_MSP_B                          PUSH_BOT                     EVQ_11_TH                DIGI-KEY                P8070SCT-ND     
SW1        I2C POW SW > BUS                   SWITCH_SLEDGE_3POS           CL-SB-23B-02             DIGI-KEY		    563-1355-1-ND                    
SW2        I2C MSP_B  > BUS                   SWITCH_SLEDGE_3POS           CL-SB-23B-02             DIGI-KEY		    563-1355-1-ND                     
SW3        JTAG SWITCH                        SWITCH_SLEDGE_3POS           CL-SB-23B-02             DIGI-KEY		    563-1355-1-ND                     
SW4        UART SWITCH                        SWITCH_SLEDGE_3POS           CL-SB-23B-02             DIGI-KEY		    563-1355-1-ND                     
TEST       VDD_RADIO                          TEST_POINT                   5019_PAD                 DIGI-KEY                5019KCT-ND   
TI_JTAG    TI_JTAG                            HEADER 100 mil 14 P          2X7 100 mil              MOUSER		    5103308-2
TP1        GND                                TEST_POINT                   5019_PAD                 DIGI-KEY                5019KCT-ND                     
TP2\       LDO VDD                            TEST_POINT                   5019_PAD                 DIGI-KEY                5019KCT-ND                     
TP3        VCC_EZFET                          TEST_POINT                   5019_PAD                 DIGI-KEY                5019KCT-ND                     
TP4        GND                                TEST_POINT                   5019_PAD                 DIGI-KEY                5019KCT-ND                     
TP5        TEST_POINT                         TEST_POINT                   5019_PAD                 DIGI-KEY                5019KCT-ND                     
TP6        TP6                                TEST_POINT                   5019_PAD                 DIGI-KEY                5019KCT-ND                     
TP7        GND                                TEST_POINT                   5019_PAD                 DIGI-KEY                5019KCT-ND                     
TP8        GND                                TEST_POINT                   5019_PAD                 DIGI-KEY                5019KCT-ND                     
TP9        GND                                TEST_POINT                   5019_PAD                 DIGI-KEY                5019KCT-ND                     
TP10       GND                                TEST_POINT                   5019_PAD                 DIGI-KEY                5019KCT-ND                    
TP11       GND                                TEST_POINT                   5019_PAD                 DIGI-KEY                5019KCT-ND                     
TP12       VDD                                TEST_POINT                   5019_PAD                 DIGI-KEY                5019KCT-ND  
TP13       VDD                                TEST_POINT                   5019_PAD                 DIGI-KEY                5019KCT-ND  
TP14       VDD_B                              TEST_POINT                   5019_PAD                 DIGI-KEY                5019KCT-ND  
U$2        SLOT2                              TFML-115-02-S-D              TFML-115-02-S-D          DIGI-KEY                SAM8264-ND
U$4        SLOT3                              TFML-115-02-S-D              TFML-115-02-S-D          DIGI-KEY                SAM8264-ND
U$5        SLOT4                              TFML-115-02-S-D              TFML-115-02-S-D          DIGI-KEY                SAM8264-ND
U$6        SLOT5                              TFML-115-02-S-D              TFML-115-02-S-D          DIGI-KEY                SAM8264-ND
U$7        TFML-115-02-S-D                    TFML-115-02-S-D              TFML-115-02-S-D          DIGI-KEY                SAM8264-ND
U$8        SLOT1                              TFML-115-02-S-D              TFML-115-02-S-D          DIGI-KEY                SAM8264-ND
U$9        POWER BOARD SLOT                   TFML-115-02-S-D              TFML-115-02-S-D          DIGI-KEY                SAM8264-ND
U$10       FPC_CABLE_ADAPTATOR                CABLE_ADAPTATOR              FPC_FFC                  MOUSER		    538-52207-1033
U$16       OSC32K                             OSC32K                       ABS07                    DIGI-KEY                535-9808-1-ND
U1         TPS73233                           TPS732XX                     SOT23                    MOUSER		    595-TPS73233DBVR
U2         TPD4E004DRYR                       TPD4E004DRYR                 TPD4E004DRYR		    MOUSER		    595-TPD4E004DRYR               
U3         USB_EZFET                          MSP430F5528IRGCT             QFN64                    DIGI-KEY		    296-27930-1-ND
U4         MSP430_B                           MSP430F5528IRGCT             QFN64 		    DIGI-KEY 		    296-27930-1-ND
